Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,V,AAPL,AMZN,GOOGL,MSFT,TSLA,V,AAPL,AMZN,GOOGL,MSFT,TSLA,V,AAPL,AMZN,GOOGL,MSFT,TSLA,V,AAPL,AMZN,GOOGL,MSFT,TSLA,V,AAPL,AMZN,GOOGL,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.4474101066589355,6.695000171661377,15.645691871643066,23.347320556640625,,19.785188674926758,7.643214225769043,6.695000171661377,15.684433937072754,30.950000762939453,,22.03499984741211,7.660714149475098,6.83050012588501,15.753503799438477,31.100000381469727,,22.1924991607666,7.585000038146973,6.6570000648498535,15.621622085571289,30.59000015258789,,21.864999771118164,7.622499942779541,6.8125,15.689438819885254,30.6200008392334,,22.0,493729600,151998000,78169752,38409100,,20180000
2010-01-05,6.458560943603516,6.734499931335449,15.576793670654297,23.354862213134766,,19.558469772338867,7.656428813934326,6.734499931335449,15.615365028381348,30.959999084472656,,21.782499313354492,7.699643135070801,6.77400016784668,15.711711883544922,31.100000381469727,,21.88249969482422,7.6160712242126465,6.5904998779296875,15.554054260253906,30.639999389648438,,21.5,7.664286136627197,6.671500205993652,15.695195198059082,30.850000381469727,,21.825000762939453,601904800,177038000,120067812,49749600,,25833600
2010-01-06,6.355828285217285,6.612500190734863,15.184123992919922,23.211530685424805,,19.295835494995117,7.534643173217773,6.612500190734863,15.221721649169922,30.770000457763672,,21.489999771118164,7.68678617477417,6.736499786376953,15.662161827087402,31.079999923706055,,21.770000457763672,7.526785850524902,6.582499980926514,15.174174308776855,30.520000457763672,,21.475000381469727,7.656428813934326,6.730000019073486,15.662161827087402,30.8799991607666,,21.752500534057617,552160000,143576000,158988852,58182400,,16254000
2010-01-07,6.344076633453369,6.5,14.830643653869629,22.97014808654785,,19.47541618347168,7.520713806152344,6.5,14.867366790771484,30.450000762939453,,21.690000534057617,7.5714287757873535,6.616000175476074,15.265265464782715,30.700000762939453,,21.75,7.466071128845215,6.440000057220459,14.83108139038086,30.190000534057617,,21.387500762939453,7.5625,6.600500106811523,15.250249862670898,30.6299991607666,,21.49250030517578,477131200,220604000,256315428,50559700,,27841200
2010-01-08,6.386254787445068,6.676000118255615,15.028352737426758,23.128555297851562,,19.529293060302734,7.570713996887207,6.676000118255615,15.065566062927246,30.65999984741211,,21.75,7.5714287757873535,6.684000015258789,15.096345901489258,30.8799991607666,,21.84749984741211,7.466429233551025,6.451499938964844,14.742491722106934,30.239999771118164,,21.5575008392334,7.510714054107666,6.5279998779296875,14.814814567565918,30.280000686645508,,21.704999923706055,447610800,196610000,188783028,51197400,,11907200
2010-01-11,6.329917907714844,6.515500068664551,15.005637168884277,22.83436393737793,,19.473175048828125,7.503929138183594,6.515500068664551,15.042793273925781,30.270000457763672,,21.6875,7.607142925262451,6.639999866485596,15.126626968383789,30.760000228881836,,21.985000610351562,7.444643020629883,6.4604997634887695,14.865865707397461,30.1200008392334,,21.542499542236328,7.599999904632568,6.63100004196167,15.126626968383789,30.709999084472656,,21.877500534057617,462229600,175588000,288227484,68754700,,12912000
2010-01-12,6.2579145431518555,6.367499828338623,14.740277290344238,22.68349266052246,,19.381139755249023,7.4185709953308105,6.367499828338623,14.776777267456055,30.06999969482422,,21.584999084472656,7.491786003112793,6.491000175476074,14.968969345092773,30.399999618530273,,21.762500762939453,7.372142791748047,6.327499866485596,14.714715003967285,29.90999984741211,,21.462499618530273,7.471070766448975,6.44950008392334,14.956206321716309,30.149999618530273,,21.645000457763672,594459600,181926000,193937868,65912100,,12842000
2010-01-13,6.346185684204102,6.45550012588501,14.655652046203613,22.89470863342285,,19.56071662902832,7.523213863372803,6.45550012588501,14.69194221496582,30.350000381469727,,21.78499984741211,7.533214092254639,6.485499858856201,14.724224090576172,30.520000457763672,,21.799999237060547,7.289286136627197,6.287499904632568,14.361862182617188,30.010000228881836,,21.487499237060547,7.423929214477539,6.394999980926514,14.426676750183105,30.260000228881836,,21.614999771118164,605892000,214464000,259604136,51863500,,13428800
